sample_id,species,population,subspecies,city_region,country,lat,long,western_hemisphere,coverage,relatedness,inbreeding,PC1,PC2,cluster
ECR_44_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,15.5803,Related,0.110982533,-0.043236671,0.026806698,8
ECR_44_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,15.6912,Related,0.12427415,-0.035544435,0.023306063,8
J1000_A,A. mellifera,SoCal,SoCal-This-Study,California,U.S.A,33.964025,-117.341792,Y,18.5127,Related,0.053576931,-0.04336498,0.032081026,8
J1000_B,A. mellifera,SoCal,SoCal-This-Study,California,U.S.A,33.964025,-117.341792,Y,17.8874,Unrelated,0.21343224,-0.078310317,0.07672408,1
J1000_C,A. mellifera,SoCal,SoCal-This-Study,California,U.S.A,33.964025,-117.341792,Y,25.7633,Related,0.05193042,-0.052152053,0.043465556,8
m207,A. mellifera,M,A. m. mellifera,Zalewo,Poland,53.849567,19.602569,N,27.445,Unrelated,0.610568987,-0.122617099,-0.121082175,4
m217,A. mellifera,M,A. m. mellifera,Rudawka,Poland,49.706097,22.448235,N,28.0376,Unrelated,0.587259557,-0.121090365,-0.114127597,4
m218,A. mellifera,M,A. m. mellifera,Rudawka,Poland,49.706097,22.448235,N,22.9599,Unrelated,0.589904244,-0.119398499,-0.105417682,4
m226,A. mellifera,M,A. m. mellifera,Sucha Rzeczka,Poland,53.891148,23.191946,N,23.0839,Unrelated,0.667400301,-0.123870855,-0.121449473,4
m227,A. mellifera,M,A. m. mellifera,Sucha Rzeczka,Poland,53.891148,23.191946,N,25.1248,Unrelated,0.579472087,-0.12061404,-0.106460374,4
m233,A. mellifera,M,A. m. iberiensis,Cordoba,Spain,37.887723,-4.77964,N,22.3354,Unrelated,0.670746882,-0.112005532,-0.132937824,4
m234,A. mellifera,M,A. m. iberiensis,Murcia,Spain,37.985883,-1.132087,N,19.1374,Related,0.687301273,-0.114180985,-0.130434167,4
m248,A. mellifera,M,A. m. iberiensis,Murcia,Spain,37.985883,-1.132087,N,26.0918,Unrelated,0.664571865,-0.114880153,-0.134930217,4
m256,A. mellifera,M,A. m. iberiensis,Cordoba,Spain,37.887723,-4.77964,N,23.9015,Unrelated,0.662704118,-0.11301184,-0.133822471,4
Mexico_Honeybee_001,A. mellifera,Meso,Mexico-Zarate,Chiapas,Mexico,16.7569,-93.1292,Y,33.2765,Unrelated,0.066813106,3.04E-04,-0.013279899,9
Mexico_Honeybee_002,A. mellifera,Meso,Mexico-Zarate,Chiapas,Mexico,16.7569,-93.1292,Y,28.7789,Unrelated,0.061393001,0.012388418,-0.02205771,9
